/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=369, Training Error=-8.298, Testing Error=0.423
Generation=370, Training Error=-8.186, Testing Error=0.409
Generation=371, Training Error=-8.076, Testing Error=0.394
Generation=372, Training Error=-7.967, Testing Error=0.379
Generation=373, Training Error=-7.859, Testing Error=0.365
Generation=374, Training Error=-7.753, Testing Error=0.351
Generation=375, Training Error=-7.648, Testing Error=0.337
Generation=376, Training Error=-7.544, Testing Error=0.323
Generation=377, Training Error=-7.442, Testing Error=0.309
Generation=378, Training Error=-7.340, Testing Error=0.295
Generation=379, Training Error=-7.240, Testing Error=0.282
Generation=380, Training Error=-7.141, Testing Error=0.269
Generation=381, Training Error=-7.043, Testing Error=0.256
Generation=382, Training Error=-6.947, Testing Error=0.243
Generation=383, Training Error=-6.851, Testing Error=0.230
Generation=384, Training Error=-6.757, Testing Error=0.217
Generation=385, Training Error=-6.663, Testing Error=0.205
Generation=386, Training Error=-6.571, Testing Error=0.193
Generation=387, Training Error=-6.480, Testing Error=0.180
Generation=388, Training Error=-6.390, Testing Error=0.168
Generation=389, Training Error=-6.302, Testing Error=0.157
Generation=390, Training Error=-6.214, Testing Error=0.145
Generation=391, Training Error=-6.127, Testing Error=0.133
Generation=392, Training Error=-6.041, Testing Error=0.122
Generation=393, Training Error=-5.957, Testing Error=0.110
Generation=394, Training Error=-5.873, Testing Error=0.099
Generation=395, Training Error=-5.790, Testing Error=0.088
Generation=396, Training Error=-5.709, Testing Error=0.077
Generation=397, Training Error=-5.628, Testing Error=0.066
Generation=398, Training Error=-5.548, Testing Error=0.056
Generation=399, Training Error=-5.469, Testing Error=0.045
Generation=400, Training Error=-5.391, Testing Error=0.035
Generation=401, Training Error=-5.314, Testing Error=0.025
Generation=402, Training Error=-5.238, Testing Error=0.014
Generation=403, Training Error=-5.163, Testing Error=0.004
Generation=404, Training Error=-5.089, Testing Error=0.006
Generation=405, Training Error=-5.016, Testing Error=0.015
Generation=406, Training Error=-4.943, Testing Error=0.025
Generation=407, Training Error=-4.872, Testing Error=0.035
Generation=408, Training Error=-4.801, Testing Error=0.044
Generation=409, Training Error=-4.731, Testing Error=0.054
Generation=410, Training Error=-4.662, Testing Error=0.063
Generation=411, Training Error=-4.594, Testing Error=0.072
Generation=412, Training Error=-4.526, Testing Error=0.081
Generation=413, Training Error=-4.460, Testing Error=0.090
Generation=414, Training Error=-4.394, Testing Error=0.099
Generation=415, Training Error=-4.329, Testing Error=0.107
Generation=416, Training Error=-4.265, Testing Error=0.116
Generation=417, Training Error=-4.201, Testing Error=0.124
Generation=418, Training Error=-4.138, Testing Error=0.133
Generation=419, Training Error=-4.076, Testing Error=0.141
Generation=420, Training Error=-4.015, Testing Error=0.149
Generation=421, Training Error=-3.955, Testing Error=0.157
Generation=422, Training Error=-3.895, Testing Error=0.165
Generation=423, Training Error=-3.836, Testing Error=0.173
Generation=424, Training Error=-3.777, Testing Error=0.181
Generation=425, Training Error=-3.720, Testing Error=0.189
Generation=426, Training Error=-3.663, Testing Error=0.196
Generation=427, Training Error=-3.606, Testing Error=0.204
Generation=428, Training Error=-3.551, Testing Error=0.211
Generation=429, Training Error=-3.496, Testing Error=0.219
Generation=430, Training Error=-3.441, Testing Error=0.226
Generation=431, Training Error=-3.388, Testing Error=0.233
Generation=432, Training Error=-3.334, Testing Error=0.240
Generation=433, Training Error=-3.282, Testing Error=0.247
Generation=434, Training Error=-3.230, Testing Error=0.254
Generation=435, Training Error=-3.179, Testing Error=0.261
Generation=436, Training Error=-3.129, Testing Error=0.268
Generation=437, Training Error=-3.079, Testing Error=0.274
Generation=438, Training Error=-3.029, Testing Error=0.281
Generation=439, Training Error=-2.980, Testing Error=0.288
Generation=440, Training Error=-2.932, Testing Error=0.294
Generation=441, Training Error=-2.885, Testing Error=0.300
Generation=442, Training Error=-2.838, Testing Error=0.307
Generation=443, Training Error=-2.791, Testing Error=0.313
Generation=444, Training Error=-2.745, Testing Error=0.319
Generation=445, Training Error=-2.700, Testing Error=0.325
Generation=446, Training Error=-2.655, Testing Error=0.331
Generation=447, Training Error=-2.611, Testing Error=0.337
Generation=448, Training Error=-2.567, Testing Error=0.343
Generation=449, Training Error=-2.524, Testing Error=0.349
Generation=450, Training Error=-2.481, Testing Error=0.354
Generation=451, Training Error=-2.439, Testing Error=0.360
Generation=452, Training Error=-2.397, Testing Error=0.366
Generation=453, Training Error=-2.356, Testing Error=0.371
Generation=454, Training Error=-2.315, Testing Error=0.376
Generation=455, Training Error=-2.275, Testing Error=0.382
Generation=456, Training Error=-2.235, Testing Error=0.387
Generation=457, Training Error=-2.196, Testing Error=0.392
Generation=458, Training Error=-2.157, Testing Error=0.398
Generation=459, Training Error=-2.118, Testing Error=0.403
Generation=460, Training Error=-2.081, Testing Error=0.408
Generation=461, Training Error=-2.043, Testing Error=0.413
Generation=462, Training Error=-2.006, Testing Error=0.418
Generation=463, Training Error=-1.970, Testing Error=0.423
Generation=464, Training Error=-1.933, Testing Error=0.427
Generation=465, Training Error=-1.898, Testing Error=0.432
Generation=466, Training Error=-1.862, Testing Error=0.437
Generation=467, Training Error=-1.828, Testing Error=0.442
Generation=468, Training Error=-1.793, Testing Error=0.446
Generation=469, Training Error=-1.759, Testing Error=0.451
Generation=470, Training Error=-1.725, Testing Error=0.455
Generation=471, Training Error=-1.692, Testing Error=0.460
Generation=472, Training Error=-1.659, Testing Error=0.464
Generation=473, Training Error=-1.627, Testing Error=0.468
Generation=474, Training Error=-1.595, Testing Error=0.473
Generation=475, Training Error=-1.563, Testing Error=0.477
Generation=476, Training Error=-1.532, Testing Error=0.481
Generation=477, Training Error=-1.501, Testing Error=0.485
Generation=478, Training Error=-1.471, Testing Error=0.489
Generation=479, Training Error=-1.440, Testing Error=0.493
Generation=480, Training Error=-1.411, Testing Error=0.497
Generation=481, Training Error=-1.381, Testing Error=0.501
Generation=482, Training Error=-1.352, Testing Error=0.505
Generation=483, Training Error=-1.323, Testing Error=0.509
Generation=484, Training Error=-1.295, Testing Error=0.513
Generation=485, Training Error=-1.267, Testing Error=0.516
Generation=486, Training Error=-1.239, Testing Error=0.520
Generation=487, Training Error=-1.212, Testing Error=0.524
Generation=488, Training Error=-1.185, Testing Error=0.527
Generation=489, Training Error=-1.158, Testing Error=0.531
Generation=490, Training Error=-1.131, Testing Error=0.535
Generation=491, Training Error=-1.105, Testing Error=0.538
Generation=492, Training Error=-1.079, Testing Error=0.542
Generation=493, Training Error=-1.054, Testing Error=0.545
Generation=494, Training Error=-1.029, Testing Error=0.548
Generation=495, Training Error=-1.004, Testing Error=0.552
Generation=496, Training Error=-0.979, Testing Error=0.555
Generation=497, Training Error=-0.955, Testing Error=0.558
Generation=498, Training Error=-0.931, Testing Error=0.561
Generation=499, Training Error=-0.907, Testing Error=0.565
Generation=500, Training Error=-0.884, Testing Error=0.568
Generation=501, Training Error=-0.860, Testing Error=0.571
Generation=502, Training Error=-0.838, Testing Error=0.574
Generation=503, Training Error=-0.815, Testing Error=0.577
Generation=504, Training Error=-0.793, Testing Error=0.580
Generation=505, Training Error=-0.770, Testing Error=0.583
Generation=506, Training Error=-0.749, Testing Error=0.586
